Exporting country,Importing country,Value of the trade flow (thousands current USD)
Cook Isds,Other,752.0
Cook Isds,"Other Asia, nes",0.0
Cook Isds,Singapore,4.0
Cook Isds,Thailand,1971.0
Fiji,Australia,53365.0
Fiji,China,4837.0
Fiji,Japan,15.0
Fiji,Other,36462.0
Fiji,"Other Asia, nes",1.0
Fiji,Rep. of Korea,2955.0
Fiji,Singapore,6580.0
Fiji,Thailand,0.0
Marshall Isds,Australia,5.0
Marshall Isds,China,313.0
Marshall Isds,Japan,12.0
Marshall Isds,Other,27532.0
Marshall Isds,Rep. of Korea,1425.0
Marshall Isds,Singapore,0.0
Marshall Isds,Thailand,16.0
Papua New Guinea,Australia,2802205.0
Papua New Guinea,China,2261264.0
Papua New Guinea,Japan,2375746.0
Papua New Guinea,Other,395561.0
Papua New Guinea,"Other Asia, nes",737960.0
Papua New Guinea,Rep. of Korea,327977.0
Papua New Guinea,Singapore,153965.0
Papua New Guinea,Thailand,135703.0
Samoa,Australia,680.0
Samoa,Other,458.0
Samoa,Rep. of Korea,438.0
Samoa,Singapore,0.0
Samoa,Thailand,23.0
Solomon Isds,Australia,2360.0
Solomon Isds,China,51770.0
Solomon Isds,Other,2962.0
Solomon Isds,"Other Asia, nes",3.0
Solomon Isds,Rep. of Korea,14.0
Solomon Isds,Singapore,1.0
Solomon Isds,Thailand,3.0
