Exporting country,Value of the trade flow (thousands current USD),Quantity (in metric tons)
Cook Isds,20333.003000000008,3634.4789999999994
FS Micronesia,130105.30099999999,87016.06599999998
Fiji,420622.10400000034,667784.583000001
Kiribati,78497.48899999997,49539.174
Marshall Isds,127085.58599999998,127713.89500000008
Nauru,15201.166,11326.383
Niue,186.959,34.99
Palau,13261.590999999997,2971.8940000000002
Papua New Guinea,10349977.651000015,14953221.948999994
Samoa,4221.580000000001,3775.779
Solomon Isds,596269.1460000002,3299163.8600000013
Tonga,4026.285,736.0409999999998
Tuvalu,10377.470000000001,7209.554000000001
Vanuatu,109438.70500000002,43414.729
