Product,Value of the trade flow (thousands current USD),Quantity (in metric tons),Exporter
Aluminium and articles thereof,10416.274000000003,8718.382000000003,Pacific
Articles of iron or steel,25413.46999999997,9932.602000000012,Pacific
Copper and articles thereof,7391.52,2096.5009999999997,Pacific
Gold,2627074.4359999998,64.47200000000001,Pacific
Iron and steel,14185.960999999998,48139.09900000002,Pacific
Lead and articles thereof,5.191,10.295,Pacific
"Mineral fuels, mineral oils and products of their distillation",5146868.731999998,10879661.555000002,Pacific
Miscellaneous articles of base metal,2191.2150000000006,309.40999999999985,Pacific
Nickel and articles thereof,535474.617,214383.061,Pacific
"Ores, slag and ash",1032370.4989999998,1883084.7460000003,Pacific
Other base metals; cermets; articles thereof,255.53,1163.9430000000002,Pacific
Tin and articles thereof,8.119,17.048000000000002,Pacific
Zinc and articles thereof,45.699,8.328,Pacific
